ds,actual,yhat,yhat_lower,yhat_upper
2017-07-22,90.0,105.96567736204568,44.84770330115385,170.032295769423
2017-07-23,82.0,120.56661106177661,57.9868194303119,184.66521042119632
2017-07-24,152.0,162.1416510951914,106.65201509633222,226.08331579315325
2017-07-25,136.0,169.84320901169366,105.57627837563429,232.45067299720927
2017-07-26,123.0,168.05401399580722,110.16831634185566,227.69992501995927
2017-07-27,114.0,168.05600754616714,104.57496759475615,226.7277698280415
2017-07-28,132.0,165.70767407787662,101.54629566489605,228.74255173231683
2017-07-29,113.0,138.77912214916864,78.85714917028021,201.42317472444824
2017-07-30,111.0,151.60086422403424,94.82134172490248,210.4454375107724
2017-07-31,121.0,190.88422543909985,128.87197541770578,250.3081570337686
2017-08-01,146.0,195.8065635682034,129.0020462958634,254.8703261063131
2017-08-02,129.0,190.78571586553846,126.84865550168412,254.34725337780299
2017-08-03,131.0,187.14840702590007,121.15247931078255,247.62681598724393
2017-08-04,133.0,180.80686803243287,119.20692115936153,236.26113775940576
2017-08-05,113.0,149.59299183806547,89.5252136591141,211.19780712670843
2017-08-06,90.0,157.90599015849114,102.3763820203352,217.47100392741447
2017-08-07,149.0,192.53150381199777,127.95828960449334,254.5630194086884
2017-08-08,207.0,192.72537518264716,131.25853155320067,249.25125547425847
2017-08-09,119.0,182.98652918219753,121.66709821021396,248.12208683353444
2017-08-10,133.0,174.72373112899385,108.01400370647862,233.4546627093785
2017-08-11,143.0,163.93050821122864,104.55218118875551,230.18839062643096
2017-08-12,81.0,128.51759922320747,67.81041681259634,187.11708531752382
2017-08-13,82.0,132.95893650020935,70.49761963323895,192.71511553623446
2017-08-14,129.0,164.1091520582673,99.81451132705072,228.8978717276284
2017-08-15,162.0,161.28585501026973,96.25287418569822,217.36217863747592
2017-08-16,159.0,149.0411630608458,87.64139033742998,208.61747997378947
2017-08-17,128.0,138.82728990603198,77.26315517053732,203.007534915315
2017-08-18,127.0,126.67050469732243,66.42101666588758,184.42589928405968
2017-08-19,98.0,90.50285303271832,31.30164647589645,152.05071153515814
2017-08-20,97.0,94.80766275820113,32.441291569056006,157.47720299058133
2017-08-21,178.0,126.43683992604736,64.4781647675557,186.32682820273794
2017-08-22,137.0,124.69320914390443,58.49451812401866,186.87155628566708
2017-08-23,131.0,114.10238106871815,51.45440489947879,172.19455022077278
2017-08-24,111.0,106.07894281830934,45.562410516444956,166.71450631678374
2017-08-25,108.0,96.60127419803337,35.04908665350915,157.69391787266812
2017-08-26,89.0,63.54435977156746,0.0,130.3704227406023
2017-08-27,124.0,71.32659463044322,8.681887304784732,131.8398671419756
2017-08-28,151.0,106.72855845435345,48.82598366304152,166.8666034470839
2017-08-29,117.0,108.97697649581923,44.19841322696727,169.62671433941676
2017-08-30,170.0,102.51831145424754,45.85163280848485,162.56609184163972
2017-08-31,132.0,98.68673970636183,40.498546591691024,160.12533431297993
2017-09-01,151.0,93.3807713364267,30.47398568777426,151.8819254058746
2017-09-02,106.0,64.39783972528922,6.924984448193908,126.88082141207498
2017-09-03,96.0,76.08281487158476,13.960330723849854,134.86056517763004
2017-09-04,128.0,115.14837304316026,55.278904149909785,176.70482715788512
2017-09-05,174.0,120.76040219023533,53.45326360510975,178.76476805490057
2017-09-06,118.0,117.31285170753377,63.02988416365326,180.33387317875832
2017-09-07,82.0,116.09674940606178,55.319550539171914,176.04486691100425
2017-09-08,101.0,112.97762012191859,54.39815667472246,173.54651953827423
2017-09-09,91.0,85.73061297492248,16.8356563701084,143.39729111989948
2017-09-10,126.0,98.68927949052892,33.852888109714435,165.04968934776633
2017-09-11,147.0,138.56593034566282,81.88092996887798,200.22410132763983
2017-09-12,203.0,144.53675260359913,80.92493218262268,208.74295996139557
2017-09-13,165.0,141.0161056528936,82.19236308427347,198.82791275764413
2017-09-14,169.0,139.32473550820475,81.30652167325277,198.3695557724092
2017-09-15,126.0,135.36616478927849,72.35707320588853,196.7762652929301
2017-09-16,113.0,106.96059484113904,47.22043379853774,167.14849143976357
2017-09-17,119.0,118.49229636749165,52.16968037566694,179.1984264604356
2017-09-18,199.0,156.7284549400419,99.20085314313383,223.86741428207236
2017-09-19,145.0,160.90269503269704,100.54309398474234,220.85511913362816
2017-09-20,150.0,155.48774470790352,97.65576307109329,213.26551391330315
2017-09-21,144.0,151.8620252335865,92.62780681253025,205.47903063763286
2017-09-22,123.0,145.98446771397383,83.00269569025528,203.92115305851857
2017-09-23,91.0,115.72693580977166,53.60103412213589,174.5803069631276
2017-09-24,102.0,125.52027128139814,65.19134860303136,184.6075885132477
2017-09-25,115.0,162.17196506645635,104.0838491400359,226.68648793252177
2017-09-26,165.0,164.94870909271148,102.06531002205836,217.24799351220923
2017-09-27,138.0,158.34831678718965,95.63538435304878,221.44707218166792
2017-09-28,134.0,153.76581596046248,92.88812282789002,213.27372334340714
2017-09-29,111.0,147.1680285589085,87.05044275504422,210.29532720080618
2017-09-30,94.0,116.42602142297292,57.05387833656842,177.371298837847
2017-10-01,110.0,125.96144234182873,66.33516068897858,184.67314671855905
2017-10-02,130.0,162.5647342192635,105.01560765154944,225.83291057369323
2017-10-03,182.0,165.47846545677385,104.4164785311044,226.53470576249066
2017-10-04,137.0,159.17024068178478,97.38964633633388,219.67789372817148
2017-10-05,135.0,154.99996558119875,88.63567085941719,216.11280011055203
2017-10-06,141.0,148.89574515174323,87.13452196174482,210.10224972043025
2017-10-07,88.0,118.68775998168081,58.93029775706458,178.96457043902035
2017-10-08,118.0,128.75609226452733,66.13803754371601,190.96650686167814
2017-10-09,176.0,165.85044959301197,104.443640086993,225.85790373500242
2017-10-10,160.0,169.17497925572246,112.78182989821083,230.95678795416183
2017-10-11,135.0,163.16259226870227,103.4426358844739,222.81693029718565
2017-10-12,113.0,159.14352782346904,96.43264756912835,224.73858061805547
2017-10-13,141.0,153.02239742665307,93.44005934885666,212.01186900610938
2017-10-14,92.0,122.61301756027918,64.94962596168631,180.6999968194961
2017-10-15,109.0,132.28697189480044,74.20255246643268,195.83427469390523
2017-10-16,167.0,168.7938267600055,107.18770915657353,227.82639424323906
2017-10-17,217.0,171.34617501556232,110.85854898014519,228.76429227765547
2017-10-18,192.0,164.3939174627867,101.55087875059637,225.46623305573522
2017-10-19,155.0,159.29251017200716,98.44852821425317,216.09684963065507
2017-10-20,93.0,151.97942261203048,88.95877369212249,212.44246152182484
2017-10-21,106.0,120.30812885267801,59.78204791516214,177.20792009039562
2017-10-22,146.0,128.69559383931198,66.4759045301844,190.25431419778386
2017-10-23,158.0,163.941206410758,99.76073657882058,220.48907320852348
2017-10-24,153.0,165.31036845307605,102.80548487716509,227.11014400111972
2017-10-25,131.0,157.3071889612633,96.0090216675908,218.66325085657795
2017-10-26,139.0,151.34105533718724,87.07429405222629,212.436081466165
2017-10-27,109.0,143.40137390036716,81.5359172671535,208.50450282315873
2017-10-28,84.0,111.38985082589303,50.64794388630548,171.64749230360576
2017-10-29,140.0,119.76632495632948,63.000483236182475,184.59945639226464
2017-10-30,139.0,155.36615137607637,89.54783649504296,212.3266122117199
2017-10-31,145.0,157.48239833286766,98.59239396513286,222.78414243852652
2017-11-01,114.0,150.6373354320648,87.2238145297027,209.9253651950895
2017-11-02,103.0,146.2480371660819,85.96486971232845,211.34988350401935
2017-11-03,143.0,140.30041911964966,76.10206418390321,199.1626436204915
2017-11-04,106.0,110.68110481840336,53.94478557477838,173.6740039477682
2017-11-05,135.0,121.82315246162662,63.10205030230482,182.96984190589905
2017-11-06,149.0,160.5236514264016,102.94819866666373,222.0557250033678
2017-11-07,141.0,166.02644540626062,103.3969083957229,227.91659830100707
2017-11-08,152.0,162.79446624600808,101.46243014966699,225.1196611667548
2017-11-09,158.0,162.17647279585708,104.46553629235808,226.75528331053115
2017-11-10,162.0,160.08249469182167,101.92582993821306,219.7325144297884
2017-11-11,131.0,134.31734576077724,74.68631688228182,197.25734460179652
2017-11-12,133.0,149.2281975320552,85.67566990298293,207.453934889929
2017-11-13,186.0,191.5241780916537,131.32483242655707,249.8535875312246
